skill,intent,example
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quin dia serà el proper cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan cau el proper cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan serà el cap de setmana que ve?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan queda pel proper cap de setmana?
ovos-skill-date-time.openvoiceos,time.until.intent,què falta pel cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan arribarem al finde?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan és el proper diumenge?
ovos-skill-date-time.openvoiceos,time.until.intent,quant queda pel cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan comença el capde?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,pots dir-me les dates del pròxim cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,el proper cap de setmana és demà passat?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,en què cau el finde que ve?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quina data tindrem el cap de setmana pròxim?
ovos-skill-date-time.openvoiceos,time.until.intent,quants dies queden pel cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quins dies són el proper finde?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,quin mes serà el cap de setmana que ve?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quin dia serà el proper finde?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,en quins dies cau el següent cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,em pots dir els dies que seran este cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quin és el pròxim capde?
ovos-skill-date-time.openvoiceos,time.until.intent,quan falta perquè sigui cap de setmana?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,quan serà lo proper dissabte-diumenge?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quin dia va ser l'últim cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quan va caure el darrer cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quan va ser el cap de setmana passat?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quins dies eren el cap de setmana passat?
ovos-skill-date-time.openvoiceos,time.until.intent,quan fa que va ser l'últim cap de setmana?
ovos-skill-date-time.openvoiceos,time.until.intent,quant ha passat des del finde?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quan va ser l'últim cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quin dia va ser l'últim dissabte?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,en quines dates va caure el darrer cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quan vam tenir el darrer capde?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,em podries recordar quan va ser l'últim diumenge?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,va ser dia tretze el cap de setmana passat?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,diumenge de la setmana passada quin número era?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,el finde anterior en què va caure?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,digue'm la data del cap de setmana previ
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,et recordes de la data del cap de setmana passat?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quines dates van formar el darrer cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,l'últim finde quins dies va ser?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,en quines dates va caure l'últim cap de setmana?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,me pots recordar quan va ser lo últim finde?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,quins dies van ser es cap de setmana passat?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,a quin dia vivim?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,quin dia és avui?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,diga'm en quin dia estem?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,avui és...?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,no sé quin dia és avui
ovos-skill-date-time.openvoiceos,current_date.intent,em pots dir la data?
ovos-skill-date-time.openvoiceos,current_date.intent,em pots dir la data d'avui?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,a quin dia del mes ens trobem?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,"quina és la data d'avui, exactament?"
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,"em podries confirmar la data d'avui, sisplau?"
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,quina és la data d'avui?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,digues el dia actual
ovos-skill-date-time.openvoiceos,current_date.intent,"quin dia, mes i any tenim avui?"
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,saps la data del dia present?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,"actualment, saps en quin dia ens trobem?"
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,en quin dia m'he despertat avui?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,quina data és la d'avui?
