skill,intent,example
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,welke datum is het komend weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wanneer valt het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wanneer is het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,hoe lang nog tot het weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,hoe lang duurt het nog tot het weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wanneer is het alweer weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,welke dag is het aanstaande zondag?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,hoeveel dagen nog tot het weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wanneer begint het weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,kun je me de data van het volgende weekend geven?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,is het volgende weekend overmorgen?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,op welke dagen valt het komende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wat zijn de data van het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,hoeveel dagen nog tot het weekend begint?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,welke datum is het komende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,in welke maand valt het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,op welke dag is het komende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,op welke dagen valt het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,kun je me zeggen welke dagen dit weekend zijn?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wat is het volgende weekend?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,hoe lang nog tot het weekend er is?
ovos-skill-date-time.openvoiceos,date.future.weekend.intent,wanneer is de volgende zaterdag en zondag?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,welke dag was het afgelopen weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,wanneer viel het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,wanneer was het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,welke dagen waren het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,hoe lang is het geleden dat het weekend was?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,hoe lang geleden was het weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,wanneer was het laatste weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,welke dag was vorige zaterdag?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,op welke data viel het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,wanneer hadden we het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,kun je me herinneren wanneer het vorige zondag was?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,was het weekend vorige week op de dertiende?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,welke datum had vorige zondag?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,op welke dag viel het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,geef me de datum van het weekend hiervoor
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,herinner je je de datum van het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,wat waren de data van het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,op welke datum viel het laatste weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,op welke data viel het vorige weekend?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,kun je me zeggen wanneer het laatste weekend was?
ovos-skill-date-time.openvoiceos,date.last.weekend.intent,welke dagen waren het afgelopen weekend?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Welke dag is het vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Wat voor dag is het vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Kun je me vertellen welke dag het is?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Is het vandaag...?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Ik weet niet welke dag het vandaag is
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Kun je me de datum vertellen?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Kun je me de datum van vandaag zeggen?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Welke dag van de maand is het vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Wat is precies de datum van vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Kun je me alsjeblieft de datum van vandaag bevestigen?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Wat is de datum van vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Zeg me de dag van vandaag
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,"Welke dag, maand en jaar is het vandaag?"
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Weet je de datum van vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Weet je welke dag het vandaag is?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Op welke dag ben ik vandaag wakker geworden?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Wat is de datum van vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Op welke dag van de kalender zitten we?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,Welke dag is het vandaag?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,"Kun je me het nummer, de maand en het jaar van vandaag zeggen?"
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,In welke maand zitten we?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Welk maand van het jaar is het?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Kun je me zeggen in welke maand we zijn?
