"skill","intent","example"
"date-time","date.future.weekend.intent","¿cuánto falta para el finde?"
"date-time","date.future.weekend.intent","¿en qué cae el fin de semana?"
"date-time","date.future.weekend.intent","Dime las fechas del próximo fin de semana"
"date-time","date.future.weekend.intent","El finde siguiente, ¿será junio?"
"date-time","date.future.weekend.intent","¿cuántos días quedan para el fin de semana?"
"date-time","date.future.weekend.intent","El fin de semana que viene, ¿qué día será?"
"date-time","date.future.weekend.intent","¿ya casi es fin de semana?"
"date-time","date.future.weekend.intent","¿qué día empieza el finde?"
"date-time","date.future.weekend.intent","¿cuántas horas quedan para el finde?"
"date-time","date.future.weekend.intent","dime que ya huele a finde"
"date-time","date.future.weekend.intent","¿cuándo comienza oficialmente el fin de semana?"
"date-time","date.future.weekend.intent","¿qué días son el próximo fin de semana?"
"date-time","date.future.weekend.intent","¿me puedes decir el próximo finde?"
"date-time","date.future.weekend.intent","¿que días forman el finde que viene?"
"date-time","date.future.weekend.intent","¿qué días salen al calendario como próximo finde?"
"date-time","date.future.weekend.intent","necesito saber cuándo queda para el próximo finde porque me estoy volviendo loco con el trabajo"
"date-time","date.future.weekend.intent","¿cuántos días faltan para el fin de semana?"
"date-time","date.future.weekend.intent","¿qué falta para el finde?"
"date-time","date.future.weekend.intent","¿cuánto queda para el finde?"
"date-time","date.future.weekend.intent","podrías decirme cuándo llegara el fin de semana"
"date-time","date.future.weekend.intent","¿cuál es la fecha del próximo finde?"
"date-time","date.last.weekend.intent","¿cuándo fue el último fin de semana?"
"date-time","date.last.weekend.intent","Dime las fechas del anterior fin de semana"
"date-time","date.last.weekend.intent","El finde pasado, ¿en qué cayó?"
"date-time","date.last.weekend.intent","¿cuántos días han pasado desde el fin de semana pasado?"
"date-time","date.last.weekend.intent","¿en qué mes y número cayó el finde anterior?"
"date-time","date.last.weekend.intent","¿sabes qué días fueron el último fin de semana?"
"date-time","date.last.weekend.intent","haz memoria: ¿cuándo se acabó el último finde?"
